albanian_title,english_title
Ndihmes Frizeri,Hairdresser assistant
Ndihem i mjeshtrit,I feel like a master
Inxhinier,engineer
Teknik i Elektros,Electrical technician
Puntor Fizik (Ndihms Mjeshter),Physical Worker (Assistant Master)
Teknike Laborante,Laboratory Technician
Financiere/Asistente Administrative,Financial/Administrative Assistant
Suvatim dhe patinim ( Glet - Fasad - Suvatim ),Plastering and coating ( Glet - Fasad - Plastering )
kamarier-e,waiter
Moter Medicinale,Medicinal Sister
Web Design,Web Design
Koordinatore e aktiviteteve,Coordinator of activities
Edukatore mosha 3-4,Educator age 3-4
Punetor ne punetori,Worker in the workshop
asistent ne lokal,local assistant
Asistente per femije me nevoja te veqanta,Assistant for children with special needs
Puntore me pllaka,Work with tiles
Asistent i Noterit,Notary Assistant
Trajner futbolli,Football coach
Ndimes-e ne Bujqesi,Participation in Agriculture
Puntore ne prodhimin e mobiljve,Workshop in the production of furniture
Punetor per prodhim te mobileve,Worker for mobile production
Pastrus i makinave,Car cleaner
Interier Dizajn,Interior Design
Kerkohet entuziast i veturave per sherbime ne Detailing!,Car enthusiast wanted for detailing services!
Kerkohet staf per pastrim baze (Deep Cleaning),Staff required for basic cleaning (Deep Cleaning)
Zyrtare per Administrat,Administration Officer
Dizajnere e modes,Fashion designer
Puntor administrativ,Administrative worker
TEKNIKE TE FARMACISE,PHARMACY TECHNIQUES
Zhvillues softueri,Software developer
Dizajn dhe Shtypje,Design and Printing
Praktikant- Dizajner te aplikacioneve,Intern - Application designer
Klkulant,Circulating
WEB Zhvillues,WEB Developer
Asistent Stomatolog i Kualifikuar per Kliniken Tone,Qualified Dental Assistant for our clinic
Radnik u Administraciji,Radnik u Administration
Dizajner - Editor - Menaxhim i rrjeteve sociale,Designer - Editor - Social Network Management
Agjent-e i Shitjes,Sales Agent
PUNETOR NE PRODHIM,WORKER IN PRODUCTION
Lojera kompjuterike,Computer games
Aadministrat,Administrator
Puntore ne administrat,Office in the administration
Kerkojme infermiere,We are looking for a nurse
Laborant Mjekesor,Medical Laboratory Assistant
Logopede,Speech therapists
Punetor ne dyqan apo nga shtepia,Worker in the store or from home
Sekretare Administrative,Administrative Secretary
Content Researcher - Hulumtues i Permbajtjes,Content Researcher - Content Researcher
Infermier me pergjegjesi administrative,Nurse with administrative responsibility
Hulumtuese e terrenit,Field researcher
Asistent ne zyre kontabiliteti,Assistant in the accounting office
PRODHIM,MANUFACTURE
KERKOJ ASISTENTE NE STOMATOLOGJI,LOOKING FOR ASSISTANTS IN DENTISTRY
Dizajner / Kreator i Permbajtjes,Designer / Content Creator
Rrobaqepsi,The tailor
KONTABILITET DHE FINANCA,ACCOUNTING AND FINANCE
Asistente Dentare/Stomatoligjise,Dental/Dental Assistant
Asistent ne Zyren Noteriale,Assistant in the Notary Office
Shites Ambulativ,Ambulatory seller
Paruker-e,Hairdresser
Kopshtar,Gardener
Ndihmes Shites,Sales Assistant
Praktikant ne Kontabilitet dhe Financa,Intern in Accounting and Finance
Futes i te dhenave,Data entry
Puntor ne pumpe,Worker at the pump
Administrator ne Zyre,Administrator in the Office
Puntore per thonje,Nail salon
Teknik i Arkitektures,Architecture technician
Montues dyer dritare,Window and door fitter
Kerkojm Kontabilist profesional,We are looking for a professional accountant
Ndihmes mekanik,Mechanical assistant
Administor,Admin
Zyrtar ligjor,Legal officer
TEKNIK I ELEKTRIKES,ELECTRICAL TECHNICIAN
Juriste,lawyer
Kamarier-e,Waiter
montazhier,video editor
Monter i parketit,Parquet fitter
Menaxhim i rrjeteve sociale,Management of social networks
Warranty Clerk - Warranty Processing Team,Warranty Clerk - Warranty Processing Team
Rrjete Sociale,Social Networks
Prodhimtari dhe Perpunim,Production and Processing
Teknologji Informative,Information Technology
Teknik-e i Kontabilitetit,Accounting Technician
O.S. - - GOLAJ MED 3 ‘’,O.S. - - GOAL WITH 3''
ANALIST I TE DHENAVE,DATA ANALYST
Jurist/Asistent noteri,Lawyer/Notary Assistant
Copywriter,Copywriter
Barnatore,drugstore
Asistente e Oftalmologut,Ophthalmologist's Assistant
Agjente e Shitejes,Sales Agent
Punetor ne lokal,Worker in the bar
Teknik i ndertimit,Construction technician
Asistent Menaxhmenti,Management Assistant
Psikolog- Terapeut stimulimi,Psychologist- stimulation therapist
Shites dhe Sektorist ne dyqan,Seller and Sectorist in the store
Mirmbajtese e rrjeteve sociale,Maintainer of social networks
Shtyp digjital,Digital printing
Dizajner grafik,Graphic designer
Manikuriste/Pedikuriste,Manicurist/Pedicurist
Montera per klima,Mounts for air conditioning
Liberlidhes,Liberlidhes
Bisnes individual,Individual business
Praktikant -e. Ne inxhinjeri. Arkitektur,Intern - e. In engineering. Architecture
Bashkepuntor ligjor,Legal associate
Ingjinier te Elektrikes,Electrical Engineer
Ndihmes shanku,Shank helper
Agjente Shitjes,Sales Agent
Asistent ne shitje,Sales assistant
MOBILERIA HOME STYLE DESIGN SH.P.K.,MOBILERIA HOME STYLE DESIGN SH.P.K.
Asistent ne zyre,Office assistant
NDIHMES MEKANIK,MECHANICAL ASSISTANCE
Asistent i Zyres Noteriale,Notary Office Assistant
Edukatore per grupmoshen 3-6 vjeq,Educator for the age group 3-6 years
Jemi ne kerkim te punetoreve te ri per biznesin tone,We are looking for new workers for our business
Asistente e stomatologut,Dentist's assistant
Asistent te stomatologjise,Dentistry assistant
Puntor Marketi,Market worker
Zyrtare Administrative,Administrative Officer
fotogarfe,photos
Trajner per Teknologji -Programim,Trainer for Technology - Programming
Edukatore per qerdhe,Educator for hearts
Auto Parking,Auto Parking
Shites ambulant,Street seller
Punetor per perpunim dhe montim te metalit,Metal processing and assembly worker
Agjente e shitjes se produkteve Reklamimi i produkteve,Product sales agent Product advertising
Instalues elektrik,Electrician
Ndihmes kuzhinieri,Assistant cook
Mundesi Punesimi: Kontabilist ne JV Associates SH.A.,Job Opportunity: Accountant at JV Associates SH.A.
Asistente e rrobaqepsise,Tailor's assistant
Kursante e Gj. Slloven-Shqip,Trainee of Gj. Slovenian-Albanian
Teknik i Elektrikes,Electrical Technician
Puntor ne Fabrik,Factory worker
Ndihmese/Rrobaqepese,Helper/Dressmaker
Teknik i elektros,Electrical technician
KERKOJME FOTOGRAFE ME PERVOJE PUNE,WE ARE LOOKING FOR PHOTOGRAPHERS WITH WORK EXPERIENCE
KERKOJME RROBAQEPESE ME PERVOJE PUNE,WE ARE LOOKING FOR A CLOTHESMAN WITH WORK EXPERIENCE
Agjente e rrjeteve sociale,Social media agent
Shitese-sektoriste,Salesperson-sectorist
Punetor per pompe derivateve,Worker for derivatives pumps
Kerkoj puntore per thonje,I am looking for a nail technician
Mirembajtes i autobusave,Bus maintenance
Puntore ne sallonet e floktarise dhe trajtimet e tjera te bukurise,Hairdressing salons and other beauty treatments
Punetor per Pjese te Pajisjeve Dispansere dhe Nderrim Pjesesh,Worker for Dispensary Equipment Parts and Parts Replacement
Instalues i klimes,Air conditioning installer
Shites i derivateve,Derivatives seller
Agjent-telefonist per marredhenie me kliente,Agent-telephone operator for customer relations
Ndihmes teknik,Technical assistant
Zyrtar per Informim te klienteve,Customer Information Officer
Kuzhine(Ndihmes),Kitchen (Helper)
Shperndares Ambulativ,Ambulatory Distributor
DEPO,storehouse
Administra,ADMINISTRATIVE
Perkthime dhe korigjime te teksteve ne gjuhen gjermane,Translations and corrections of texts in German
Teknik e farmacise -,Pharmacy Technician -
Kamariere & Shankiste,Waitress & Bartender
kontabiliste,ACCOUNTING
Ndihmes ne punim e montimeve dhe fasadimeve,Help in assembly and facade work
Laborant Teknik,Technical Laboratory Technician
Kameraman/Kranist,Cameraman/Cranist
Puntore ne veshjen e dyshemeve dhe mureve me pllaka.,Workshop in covering floors and walls with tiles.
Mesimdhenes e gjuhes angleze,English language teacher
Notere Marigone Shkoza,Notary Marigone Shkoza
Agjente i shitjes,Sales agent
Ndihmes ne piceri,Helper in the pizzeria
KONTABILITET,ACCOUNTING
puntor ne administrat,employee in administration
Ndihmese,subsidiary
Stomatologe,Dentist
Agjenti i shitjes (ne teren),Sales agent (in the field)
Shitese e biletave,Ticket seller
ZDRUKTHETAR/Ndihmes,CARPENTER/Helper
Pastruese/Ndihmese,Cleaner/Helper
Puntor Administrative,Administrative Worker
Suvatues/Ndihmes,Plasterer/Helper
Ndihmes/Elektricist,Helper/Electrician
Punetor ne lulishte,Worker in the flower garden
Punetore ne shitore,Shop worker
Kerkojme teknike ndihmes shendetsore per ndihme ne punet e barnatores,We are looking for a health care technician to help with the work of the pharmacy
Ndihmes kuzhinier,Assistant cook
Qendistare 5,Embroiderer 5
Mirmbajtes i Fermes se zogjeve,Poultry Farm Keeper
Asistent ne Ferm,Farm assistant
ASISTENT NE FERM,FARM ASSISTANT
Ndihmese ne barnatore,Pharmacy assistant
Snapchat Video Producer,Snapchat Video Producer
Puntore dhe mjeshter i mobilerive,Craftsman and furniture maker
Zv. Menaxhere,Deputy manager
Zyrtar per rrjete sociale.,Social media officer.
Punetore ne Premium Center,Worker at Premium Center
Astistente,Assistant
Check4you,Check4you
Shitese/Floriste,Saleswoman/Florist
Zyrtar per financa,Finance officer
Bukpjekese,Baker
Mjeshter i suvatimit,Plastering master
Puntor Furre,Bakery worker
puntor ne pllac,worker on the floor
Asistent Personal - IT,Personal Assistant - IT
Projekt Menaxher ne Fabriken e Miellit,Project Manager at the Flour Factory
Praktikant ne Departamentin e Financave,Intern in the Finance Department
Gomister - Auto-mekanik,Gomister - Auto mechanic
Prodhim dhe montim i produkteve,Production and assembly of products
Asistent i noteres,Notary's assistant
Zyrtar Ligjor ne Zyren Noteriale,Legal Officer in the Notary Office
Ndihmes/per pllaka,Help/for tiles
Shitese fizike 12,Physical seller 12
Kuzhine,Kitchen
Teknik kontabiliteti,Accounting technician
Delivery Me Biciklete Elektrike,Delivery with electric bicycles
Shitese/s,Seller/s
Menaxher ne rrjete sociale,Manager in social networks
Shites ne dyqane,Sold in stores
ZYRTARE ADMINISTRATIVE,ADMINISTRATIVE OFFICER
Social media menagment,Social media management
Ndihmes mjeshter - punetor fizik,Assistant foreman - physical worker
Montues i ujit,Water fitter
Gazetare,journalist
Shites ne Dyqan,For sale in the store
Asistent administrative,Administrative assistant
INFERMIERE NE STOMATOLOGJI,NURSE IN DENTISTRY
Administratore-,Administrator-
Analist i projektit,Project Analyst
Zyrtar brenda zyres noteriale,Official within the notary office
Montus lodrave,Montus toys
Praktikant per Qeoje,Intern for Qeoje
Asistent ne financa,Financial assistant
New Fashion,New Fashion
Praktikant per Qepje,Sewing Intern
Asistente edukimi,Education assistant
Praktikante per Qepje,Sewing intern
Depoist/Shofer,Driver/Driver
Puntore ne Ferm,Farm worker
Infermiere (asistente e stomatologut),Nurse (Dental Assistant)
Kontrollere e Cilesise,Quality Control
RECEPSIONISTE,RECEPTIONIST
The Green Bar 2025 SH.P.K.,The Green Bar 2025 LLC
Shankist/Kamarier,Bartender/Waiter
Agjent i Udhetimeve,Travel Agent
recepcion,reception
Rrobaqepese 5,Dressmaker 5
Shofer/Taksist,Driver/Taxi driver
ROLETE PUNUES-E,WORKING ROLLS
Taksist/Shofer,Taxi Driver/Driver
sektorist,sectorist
Punetor ne prodhimin e mobiljeve dhe orendive,Worker in the production of furniture and furnishings
Punetre,Workshops
Arkatare /Shitese marketi,Cashier / Market seller
Asistente e mesuesve,Teacher's assistant
Ndihmes ne punet e makineris,Help in machine work
Asistente Adminstrative,Administrative Assistant
Frizere - grimere praktikante,Apprentice hairdresser - make-up artist
Mbikqyrs,supervisory
Asistente e Zyres Noteriale,Assistant of the Notary Office
Asistent ne kontabilitet,Assistant in accounting
Ndihmese ne rrobaqepsi dhe shitese,Tailor and sales assistant
Kerkojme Shites,We are looking for sellers
Mjeshter per prodhimin e mobiljeve,Master for the production of furniture
Punetor per sistemin e ujesjellesit,Worker for the water supply system
Montim i reklamave 3D,3D ad montage
Kamarier/Kuzhinere,Waiter/Cook
Praktikant ne Departamentin e Prodhimit,Intern in the Production Department
PUNETORE,EMPLOYEES
PUNETOR PER SHPERNDARJE TE PRODUKTEVE,PRODUCT DISTRIBUTION WORKER
Rrobaqese,Clothes
puntor,worker
Serviser i printerave SMARTEK Shpk,Printer repairer SMARTEK Shpk
Agjent i shitjes - Agronom,Sales agent - Agronomist
Asistent i Stomatologjise,Dentistry Assistant
Edukatore per moshen 4-6,Educator for ages 4-6
Asistent i Kontabiliteit,Accounting Assistant
Mr. Ph Farmacist,mr. Ph Pharmacist
Teknik e Kontabilitetit,Accounting Technician
Liferues / Shperndares Malli,Delivery / Distributor of goods
Realizimi i Dekoreve,Realization of Decorations
Realizimi i eventeve,Realization of events
Kamarier-banakier,Waiter-bartender
Asistente ne Depo,Assistant in the Depot
Praktikant per thonje,"Intern, so to speak"
Fotograf & Editim,Photographer & Editing
Zyrtar per Projektim dhe Mbikeqyrje te Punimeve (Arkitekt),Official for Design and Supervision of Works (Architect)
ADMINISTRA,ADMINISTRATIVE
Kamarier/re,Waiter
Shitese ne dycan,Saleswoman in the shop
Mirembajtes i hapesirave te jashtme publike,Maintenance of outdoor public spaces
Hoteleri,hospitality
Kamarie,Kamari
Lili Solution shpk,Lili Solution Ltd
Ndihmes kuzhine - pastrimi i eneve,Kitchen helper - cleaning dishes
puntor ne bar,bar worker
Rrobaqepse kreative per tekstil dhe dizajn,Creative tailors for textile and design
Asistent Mentor,Assistant Mentor
Bagerist,Excavator
Parapergaditja e materialeve per montim dhe montimi i reklamave,Preparation of materials for assembly and assembly of advertisements
Praktike ne Departamentin Ligjor dhe Ceshtje te Rregullatorit,Practice in the Legal and Regulatory Affairs Department
Teknike Farmacis,Pharmacy Technician
Agjent i shitjes ne Teren,Sales agent in Teren
KAMRIER,WAITER
Agjent ne Call center,Call center agent
Agjent Shitjes,Sales Agent
Kerkojm Agjente te Shitjes,We are looking for Sales Agents
Kerkojm Agjente te shitjes,We are looking for sales agents
Asistente per makeup artist,Assistant for makeup artist
CardioRhuma,CardioRhuma
Asistent ne zyren Noteriale,Assistant in the Notary office
Bashkepunetore,Associate
Teknik Laborant (2),Laboratory technician (2)
Teknik ne mirembajtjen e pajisjeve mjeksore,Technician in the maintenance of medical equipment
Bukepjeks,Bakery
Ndihmes Kuzhiniere,Assistant Cook
Zyrtar ligjor.,Legal officer.
Nela Home,Nela Home
Ndimes ne Menaxhim,Part of Management
Zyrtar per Hartimin e Projekteve,Project Design Officer
Arber Rexhepi B.I.,Arber Rexhepi B.I.
DC Beauty KS SH.P.K.,DC Beauty KS SH.P.K.
Serviser,repairman
Call Center,Call Center
Shitese fizike 13,Physical seller 13
Rrobaqepese 6,Dressmaker 6
Rrobaqepese 7,Dressmaker 7
Vend i lire pune,Job vacancy
Arkatare ne Market,Cashier at the Market
Dentiste,dentists
Ndihmes ne Procesin e Prodhimit,Help in the Production Process
Restaurant Pojata,Restaurant Pojata
Zyrtare Ligjore,Legal Officer
Ndihmese ne kopsht,Help in the garden
Punetor per pastrim Gjeneral,General cleaning worker
Punetor per kujdestari per gjedhe qumeshtore,Dairy cattle care worker
Puntor Elektrikes,Electrician
Agjent te zyres,Office agent
Ndertim,Construction
Fizioterapist,physiotherapists
Shitese ne butik,Shop assistant
Ndihmes Kamarier,Assistant Waiter
KERKOJME PUNTORE,WE ARE LOOKING FOR WORKERS
Shitese Ne SHowroomin e Mobilieve PicusHome SHPK,Salesperson at PicusHome Furniture Showroom Ltd
Praktikant - ndihmes ne zyren e avokatit.,Intern - assistant in the lawyer's office.
Puntor ne prodhim te dritareve,Worker in the production of windows
Pastrues-e,Cleaner
Shites /Arkatar,Sales / Cashier
Assistente ne sallon,Salon assistant
Komercialiste,book-keepers
Trajnere Fitnesi,Fitness trainer
mbikqyrese ne Houskeeping,supervisor in Houskeeping
Staf teknik,Technical staff
Sektoriste e Butikut,Boutique Sectorist
Nikoqire/Pastruse,Host/Cleaner
Asistent i ri,New assistant
Moler - Suvatues,Painter - Plasterer
Kamarier Shankist,Shankist waiter
Banakiere / Cashier,Bartender / Cashier
Asistente per Komunikim me Kliente – Online (Shitje eSIM),Customer Communication Assistant - Online (eSIM Sales)
asistent ne Administrate,assistant in Administration
Montuese Suveniresh,Souvenir assembler
Rent a Car Fejza po Kerkon Punonjes – Aplikoni Sot!,Rent a Car Fejza is Looking for Employees - Apply Today!
Fermer,farmer
Punetor ne sektorin e prodhimit,Worker in the production sector
Punetor ne fabrik per PVC,Worker in PVC factory
Keshilltar i Shitjes,Sales Advisor
Puntetore pe Keramike,Ceramic tiles
Ndertimtar,Builder
ASISTENTE ZYRES,OFFICE ASSISTANT
Shites ne Optike,For sale in Optics
Monter per sera,Greenhouse fitter
Koordiantor i projektit,Project coordinator
Ndihmese e kontabilitetit,Accounting assistant
Ndihmes e kontabilitetit,Accounting assistant
Ndihmes Monter i Hidrosanitareve,Hydrosanitary fitter assistant
Ndihmestrajner te kategorite e reja U13,Assistant coach of the new U13 category
PUNTOR NE AUTOLARJE,WORKER IN CAR REPAIR
Gazetare/Praktikante,Journalist/Intern
banakjer,barman
Ndihmes transportuesi,Assistant carrier
Ndihme transportues,Transportation assistance
Džavid Karadolami B.I.,Džavid Karadolami B.I.
Stilist,Stylist
Praktike - Asistent Administrativ,Practical - Administrative Assistant
Menaxhere e Kompanis,Company Manager
Zyrtare ne Administrate,Official in Administration
Punetor ne prerje dhe perpunim te gurit,Worker in stone cutting and processing
arkater,archery
Mjeshter Elektrik,Master Electrician
Praktikant per Teknik te Kontabilitetit,Intern for Accounting Technician
Shperndares i pijeve,Beverage distributor
delivery,delivery
Puntore per Fabrike,Workshop for factories
arkitekt,architect
Punetor prodhimi,Production worker
Menaxhimin dhe mbikqyrjen e rezervimeve,Management and supervision of reservations
Nihmes mekaniku,Nihmes the mechanic
Fermer/Mirembajtes i fermes,Farmer/Farm Keeper
Shites i Akullores,Ice cream seller
Asistent-e / Ciceron-e,Assistant / Cicero
???????/? ??̈ ?????̈? ? ????????????̈ ??????????? (??̈? ?????? 8-?7 ????̧),???????/? ??̈ ?????̈? ? ????????????? (??̈? ?????? 8-?7 ????̧)
Instalim i sistemeve te ngrohjes qendrore,Installation of central heating systems
Asistent per video/foto produksion,Assistant for video/photo production
Ndihmes kuzhinjere,Kitchen assistant
kamaier,waiter
Teknike e Kontabilitetit,Accounting Technique
Agjent te shitjes,Sales agent
Cameraman,Cameraman
SHITESE NE BUTIK,BOUTIQUE SELLER
Mirmbajtje e Rrjeteve Social - AI,Maintenance of Social Networks - AI
Call center representative,Call center representative
Call center agent,Call center agent
Agjent i shitjes ne call center,Sales agent in the call center
Frizerk,Hairdresser
Punonjes Administrate,Administrative employee
EGE BAU SH.P.K.,EGE BAU SH.P.K.
MONTAZHER,editor
INFERMIERE (asistente stomatologut),NURSE (dental assistant)
Ven i lir pune /Arkatare,Vacancy / Cashier
Praktikant ne kontabilitet,Intern in accounting
Picamen/Shofer,Picamen/Driver
Kopeshtare,Gardener
Agjent i jashtem te shitjes,External sales agent
Art and Design Associate,Art and Design Associate
Research Associate,Research Associate
Monter per paisje te Ngrohje - klimatizim dhe ventilim,Installer for heating - air conditioning and ventilation equipment
Anketues,Inquiry
Mikpritese / Host,Host
Teknike Kontabiliteti,Technical Accounting
Psikologji - Logopede - Shenca sociale,Psychology - Speech therapy - Social science
Menaxhere e Rrjeteve Sociale,Manager of Social Networks
Asistente juridike,Legal assistant
Bashkepunetore ne Zyren Noteriale,Associate in the Notary Office
Asistente jurdike,Legal assistant
Social Media & Video/Photo Editor,Social Media & Video/Photo Editor
Kamariera,The waitress
Shites i,For sale
Agjent Doganor-Shpediter,Customs Agent-Shipper
Mirembajtes i fermes,Farm maintainer
Kordinatore ne baze,Coordinator at the base
Asistent per Komunikim dhe Media Sociale,Assistant for Communication and Social Media
Konkurs per Shofer,Driver competition
Video Editor per Rrjete Sociale,Video Editor for Social Networks
Ndihmese ne studio estetike,Assistant in aesthetic studio
Teknik per instalime,Installation technician
Kamarier - Shankist - Skarist,Waiter - Shankist - Scarist
Teknik Mjekesor (Infermier),Medical Technician (Nurse)
Administrate dhe Financa,Administration and Finance
Puntore ne market,Worker in the market
Mbikqyrje ne Ferm,Supervision on the Farm
LASH ARTIST/ MAKE UP,LASH ARTIST/ MAKE UP
Punetore administrate,Administration worker
Shites ne Agjencion,For sale in the Agency
Ndimes kuzhinier,Part cook
Mirembatjes/Pastrim objekti,Facility Maintenance/Cleaning
Inxhinier ose Student i Makinerise,Engineer or Mechanical Student
Asistent teknik,Technical assistant
Vend i lir pune,Job vacancy
INFERMIERE (asistente e stomatologjise),NURSE (dental assistant)
Asistent Administrate,Administrative Assistant
Nail artist,Nail artist
Depilim,waxing
Te gjitha pozitat ne Rina Market,All positions in Rina Market
Shitese Tekstili,Textile sales
fatmir shala b.i.,fatmir shala b.i.
KUZHINIER,chef
fluturije aziri b.i.,Aziri flight b.i.
NDIMES KUSHINJER,THROUGH COUSINS
Extra market,Extra market
Ndihmese Edukatorw,Assistant Educator
Ndihmese e Edukatores per Grupmoshen 0-3 vjec,Educator's Assistant for the 0-3 age group
Shites ambulantive,Outpatient sales
Ndihmese e Mesueses ne Qendren Edukative “Bardha” dhe Programin Veror,"Teacher's Assistant at the ""Bardha"" Educational Center and the Summer Program"
TikTok-er per Programin Veror “Bardha” dhe Logiscool,"TikToker for the Summer Program ""White"" and Logiscool"
Trajner ne Logiscool – Orar i plote gjate veres,Trainer at Logiscool - full time during the summer
Infermiere/Laborante,Nurse/Lab
Manecyr Pedicyr,Manicure Pedicure
puntore ne rent,working for rent
bashkepuntore,collaborator
Kerkoj puntor Zdrukthtar,I am looking for a carpenter
Inxhinier Dizajni,Design Engineer
Biznis Individual,Individual Business
Puntor per RENTA CAR,Worker for RENTA CAR
Arkitekt/Praktikant,Architect/Trainee
Punetor per sigurim te automjet,Vehicle insurance worker
Shofer per kamion,Truck driver
Punetor per laminat,Laminate worker
nails,nails
Asistent i Inxhinier,Assistant Engineer
Puntor teknik,Technical worker
Puntor Tek ik,Puntor Tek ik
Mjeshter i ujit,Master of water
CNC Sharr dhe Kantiric,CNC Sharr and Kantiric
Shites Online,Sell ​​Online
Ndimes monter,Installer part
Hulumtues ne teren,Field researcher
Arkitekture,Architecture
Vullkanizer,retreading
Travel Star SH.P.K.,Travel Star Sh.P.K.
Montazher,editor
Montues i Knauf dhe aplikues i gletit,Knauf installer and tile applicator
TE DAJA EEE XHL SH.P.K.,TE DAJA EEE XHL SH.P.K.
Punetor te ngjyrosjes,Dyeing worker
MENAXHER DHE EKSPERT,MANAGER AND EXPERT
Kerkojme shites-e ne butik,We are looking for sellers in the boutique
Kujdes ndaj Klientit,Customer care
Praktikant per Mekanik,Intern for Mechanic
Sekretar administrativ,Administrative secretary
SEKTORISTE NE MARKET,SECTORISTS IN THE MARKET
Inxhiner per energji te ripertritshme,Renewable energy engineer
ZEKA COMMERCE SH.P.K.,ZEKA COMMERCE SH.P.K.
Agjente e shitjes se biletave,Ticket sales agent
ASISTETENT PER ARKITEKTURE,ARCHITECTURE ASSISTANT
Kerkoj Agjent te shitjes,I am looking for a sales agent
SHOFER,DRIVER
Agjente e shitjes ne zyre,Sales agent in the office
Projekt Menagjer,Project Manager
Projekt Menaxher,Project Manager
Ndihmes mjeshter,Assistant master
Konkurs pune per ndihmese ne qender estetike,Job competition for assistants in the aesthetic center
Asistent ne administrate,Assistant in administration
Agjente Turistike e Shitjes,Tourist Sales Agent
Kordinator i terrenit,Field coordinator
Mirembajtjes i zyres dhe automjeteve,Office and vehicle maintenance
Transporter,Transporter
mirmbajts,mirmbytes
laborant i mjekesise,medical laboratory
Infermiere i pergjithshme,General nurse
Komunikues me njohuri te gjuhes angleze,Communicator with knowledge of the English language
Asistent i Farmacise,Pharmacy Assistant
Menaxhimi i dokumenteve,Document management
Punetor muratimi,Masonry worker
Menaxher e dokumentave,Document manager
Mirembajtes e dokumentav,Maintenance of documents
Zhvillues Programi – matematike,Program Developer – mathematics
Asistent e doktorit,Doctor's assistant
Punetor per nxemje dhe energji elektrike,Heating and electricity worker
Doktor i Mjekesise se Pergjithshme / Elez Han - 08/2025,Doctor of General Medicine / Elez Han - 08/2025
Asistent IT,IT Assistant
Punetor per polirim,Polishing worker
Farmacist/Farmaciste,Pharmacist/Pharmacist
Punetore Teknike,Technical Workshop
Grimere - Stilimin e flokeve - Rregullimin e thojve - Depilim.,Make-up - Hair styling - Hair straightening - Waxing.
Edukatore -moter edukatore,Educator - mother educator
Zyrtare Ligjore / Administratore e Zyres,Legal Officer / Office Administrator
Shitese e embelsirave,Sweets seller
Montues i Skeleve,Scaffolding Assembler
Shitese ne librari,Bookstore saleswoman
Punonjes ne sektorin e prodhimit,Workers in the production sector
Punet ne prodhim,Works in production
Bashkpunetore Profesionale,Professional Associate
ASISTENETE ADMINISTRATIVE,ADMINISTRATIVE ASSISTANT
Punetor ne Sony PlayStation,Worker at Sony PlayStation
Kuzinjere,Cook
Kerkojm Shites,We are looking for sellers
Shites dhe Sektorist,Seller and Sectorist
Dizajnere ne showroom,Designers in the showroom
Doktoreshe e Stomatologjise,Doctor of Dentistry
Punetor ne Shitje,Sales worker
Shtrues i Pllakave,Laying Tiles
PUNETOR NE SHITJE,SALES WORKER
Punetor administrative,Administrative worker
Punetore ne shank dhe kamariere,Bar worker and waitress
Asistent e Shitjes,Sales Assistant
Punetor Per autolarje,Car wash worker
Zhvillues Programi – Gjuhe Angleze,Program Developer – English Language
Kerkojme ndihmese per pune ne barnatore,We are looking for help to work in the pharmacy
Punetor - Kamajer,Worker - Waiter
Puntor per nxemje qendrore,Central heating contractor
Kuzhinjer-e,Cook
shankis,shankis
Punetor per veshje te foljeve,Worker for clothing of verbs
Stomatolog-e,Dentist
Puntor per Suvatim,Plastering contractor
Pergjegjes Kompanis,Responsible Company
SHANKIST / KAMARIER,BANKIST / WAITER
Puntor ne teren,Worker in the field
EM 3 SH.P.K.,EM 3 Sh.P.K.
Asistent Financiar,Financial Assistant
Shofer - ndihmes rreth pastrimit,Driver - help around cleaning
Per poziten Fasaderit,For the position of Fasader
Administrues i zyres,Office administrator
Shitse ne butik,Sell ​​in a boutique
ARKATAR NE MARKET,CASHIER IN THE MARKET
Gotalarese,Gotalarese
Teknike e Anestezise,Anesthesia Technique
kuzhinier,chef
Zyrtar per Logjistike,Logistics Officer
Faturiste - Shitese,Biller - Saleswoman
Punetor ndihmes ne ordinance,Assistant worker in the ordinance
Transportues,carrier
Agent i financave,Finance agent
Assistente,Assistant
Abu Pizza,Abu Pizza
Training Content Creator,Training Content Creator
FARMACISTE,PHARMACIST
Ingjinier i Gjeodezise,Geodesy Engineer
Ngjyroses i veturave,Car paint
TEKNIKE E FARMACISE,PHARMACY TECHNICIAN
Punetor shites,Sales worker
Gjeodet / Ekspert i GIS-it,Surveyor / GIS Expert
Pune ne media online,Work in online media
Punter per Mobileri,Punter for Furniture
Customer Education Associate,Customer Education Associate
Erxhan Krakoveti B.I.,Erxhan Krakoveti B.I.
Tapetar,Upholsterer
Ndihmes mjeshter per Instalimin e Nxemjes - Klimave dhe Ujit.,Assistant master for the installation of heating - air conditioning and water.
Ndihmes Elektricist,Assistant Electrician
shites ne butik,sold in the boutique
Ndihmes/Mjeshter,Assistant/Master
Pizzamen,Pizzaman
Customer Service Representative (CSR),Customer Service Representative (CSR)
Punetor ne ndertimtari,Construction worker
Praktikante per thonje,Practice for nails
Mesues i edukates fizike,Physical education teacher
Edukatore per grup moshen 09 - 6 vjeq,Educator for age group 09 - 6 years
Edukatore per grup moshen 09 - 3 vjeq,Educator for age group 09 - 3 years
Edukatore per grup moshen 3 - 6 vjeq,Educator for age group 3 - 6 years
Asistente dentare,Dental assistant
Gjuhe Angleze,English language
